symbol,window_days,funding_return,apr_simple,pos_frac,neg_frac,stdev,top10_share,max_drawdown,n_prints,rank_apr,quality_score,rank_quality
ARCUSDT,30,0.08076097000000002,0.9825918016666669,1.0,0.0,0.00043877297476760895,0.2230707481596617,0.0,181,1,-0.1842585768982626,249
1000000BOBUSDT,30,0.07888579,0.9597771116666667,0.994475138121547,0.0055248618784530384,0.0006146498028072409,0.2960594747333943,8.286999999999965e-05,181,2,-0.25868560729624196,321
GUAUSDT,30,0.07488276,0.91107358,0.994475138121547,0.0055248618784530384,0.00039900977990802534,0.19455935892476103,1.4299999999967117e-06,181,3,-0.1664706736775714,231
PTBUSDT,30,0.05030364999999999,0.6120277416666665,0.9779005524861878,0.022099447513812154,0.0005718456251684942,0.3524313982752484,0.0032175699999999995,181,4,-0.2744829740163905,339
BROCCOLIF3BUSDT,30,0.04983137,0.6062816683333333,1.0,0.0,0.0004256205537126796,0.3372989745214711,0.0,181,5,-0.22210581504430016,288
PLAYUSDT,30,0.04739686999999999,0.5766619183333332,0.9171270718232044,0.08287292817679558,0.0008857695326422203,0.3350725962703211,0.010845869999999994,181,6,-0.3753555976451222,399
AIOTUSDT,30,0.04533902000000001,0.5516247433333334,0.994475138121547,0.0055248618784530384,0.0004098033823238642,0.35783421916257924,8.319999999999161e-06,181,7,-0.2269093977469387,295
1000RATSUSDT,30,0.045268060000000006,0.5507613966666667,1.0,0.0,0.00020268074002417383,0.15266901210257294,0.0,181,8,-0.1005219415995704,139
1000WHYUSDT,30,0.042123990000000014,0.5125085450000002,0.9558011049723757,0.04419889502762431,0.0003985865839285105,0.3349104125689346,0.00049599,181,9,-0.22941840839939412,299
KOMAUSDT,30,0.041384000000000004,0.5035053333333334,0.9337016574585635,0.06629834254143646,0.0003851291341635154,0.3085281612255213,0.0007254600000000007,181,10,-0.22440018754281063,292
COLLECTUSDT,30,0.040154640000000005,0.48854812000000003,1.0,0.0,0.00022420279233031226,0.20499399322220294,0.0,181,11,-0.1243204932632133,183
RAVEUSDT,30,0.037338300000000005,0.45428265000000007,0.994475138121547,0.0055248618784530384,0.0003054598950382826,0.3142352624359241,0.0006498300000000005,181,12,-0.1848462250704522,250
BANUSDT,30,0.03533352,0.42989116000000005,1.0,0.0,0.00015501647281318813,0.16964740563634756,0.0,181,13,-0.09424663446478358,126
SIRENUSDT,30,0.03517764,0.42799462,0.9558011049723757,0.04419889502762431,0.0004368395324672004,0.38866244032540687,0.0007079099999999991,181,14,-0.2585045893438128,320
DAMUSDT,30,0.03280572999999999,0.39913638166666654,1.0,0.0,0.0002722852129468957,0.3290742196561395,0.0,181,15,-0.1793627744993828,245
TRADOORUSDT,30,0.03248679,0.39525594500000005,0.9723756906077348,0.027624309392265192,0.00032762270872531575,0.25040410710672656,0.00313689,181,16,-0.1777501335086854,243
SKYAIUSDT,30,0.031838769999999995,0.38737170166666657,1.0,0.0,0.00026530919195641304,0.3170646981651616,0.0,181,17,-0.17360191680885362,238
HANAUSDT,30,0.029687880000000007,0.36120254000000007,1.0,0.0,0.00019591576338207954,0.2564453911832033,0.0,181,18,-0.13480631798948545,204
LIGHTUSDT,30,0.02702057,0.3287502683333333,1.0,0.0,0.0001180130471933763,0.16783472739472188,0.0,181,19,-0.08450006071007443,107
B2USDT,30,0.025654959999999997,0.31213534666666665,1.0,0.0,0.00012752385008428535,0.18824897797540907,0.0,181,20,-0.09401423421010424,125
