rebalance_date,turnover,entered_count,exited_count,num_constituents
2024-03-01,1.0,10,0,10
2024-04-01,0.10000000000000006,1,1,10
2024-05-01,0.0,0,0,10
2024-06-01,0.0,0,0,10
2024-07-01,0.10000000000000005,1,1,10
2024-08-01,0.0,0,0,10
2024-09-01,0.0,0,0,10
2024-10-01,0.10000000000000003,1,1,10
2024-11-01,0.09999999999999998,1,1,10
2024-12-01,0.10000000000000002,1,1,10
2025-01-01,0.19999999999999996,2,2,10
2025-02-01,0.1,1,1,10
2025-03-01,0.10000000000000009,1,1,10
2025-04-01,0.0,0,0,10
2025-05-01,0.10000000000000006,1,1,10
2025-06-01,0.0,0,0,10
2025-07-01,0.10000000000000003,1,1,10
2025-08-01,0.0,0,0,10
2025-09-01,0.1,1,1,10
2025-10-01,0.1000000000000002,1,1,10
2025-11-01,0.10000000000000023,1,1,10
2025-12-01,0.0,0,0,10
