rebalance_date,snapshot_date,symbol,coingecko_id,venue,basket_name,selection_version,rank,weight,marketcap,volume_14d,source
2024-02-01,2024-02-01,BNB,binancecoin,BINANCE,golden_smoke_TOP10,v1,1,0.1,46192055347.44985,623470375.2732543,coingecko
2024-02-01,2024-02-01,XRP,ripple,BINANCE,golden_smoke_TOP10,v1,2,0.1,27357902166.227016,1304951336.7588465,coingecko
2024-02-01,2024-02-01,ADA,cardano,BINANCE,golden_smoke_TOP10,v1,3,0.1,17510938546.19112,474657239.93305737,coingecko
2024-02-01,2024-02-01,TRX,tron,BINANCE,golden_smoke_TOP10,v1,4,0.1,9893332805.454735,385965493.68252665,coingecko
2024-02-01,2024-02-01,DOT,polkadot,BINANCE,golden_smoke_TOP10,v1,5,0.1,8817939927.87415,207121505.50546092,coingecko
2024-02-01,2024-02-01,LINK,chainlink,BINANCE,golden_smoke_TOP10,v1,6,0.1,8764421759.034433,916089418.0435227,coingecko
2024-02-01,2024-02-01,ICP,internet-computer,BINANCE,golden_smoke_TOP10,v1,7,0.1,5248905245.855954,113655017.39424534,coingecko
2024-02-01,2024-02-01,LTC,litecoin,BINANCE,golden_smoke_TOP10,v1,8,0.1,4950352702.507542,349028953.716598,coingecko
2024-02-01,2024-02-01,BCH,bitcoin-cash,BINANCE,golden_smoke_TOP10,v1,9,0.1,4599043205.126676,168017633.9436268,coingecko
2024-02-01,2024-02-01,UNI,uniswap,BINANCE,golden_smoke_TOP10,v1,10,0.09999999999999994,4523219604.190334,106054053.94006197,coingecko
2024-03-01,2024-03-01,BNB,binancecoin,BINANCE,golden_smoke_TOP10,v1,1,0.1,61636826474.480034,2095850379.9644601,coingecko
2024-03-01,2024-03-01,XRP,ripple,BINANCE,golden_smoke_TOP10,v1,2,0.1,32142327275.936535,3649152111.4455633,coingecko
2024-03-01,2024-03-01,ADA,cardano,BINANCE,golden_smoke_TOP10,v1,3,0.1,23175081904.582394,1614265130.1649714,coingecko
2024-03-01,2024-03-01,TRX,tron,BINANCE,golden_smoke_TOP10,v1,4,0.1,12378182909.805557,547460785.0828899,coingecko
2024-03-01,2024-03-01,LINK,chainlink,BINANCE,golden_smoke_TOP10,v1,5,0.1,11347407778.110456,930421789.8886082,coingecko
2024-03-01,2024-03-01,DOT,polkadot,BINANCE,golden_smoke_TOP10,v1,6,0.1,11047077399.623516,507955995.36151284,coingecko
2024-03-01,2024-03-01,UNI,uniswap,BINANCE,golden_smoke_TOP10,v1,7,0.1,8456491766.085237,661251562.6337985,coingecko
2024-03-01,2024-03-01,LTC,litecoin,BINANCE,golden_smoke_TOP10,v1,8,0.1,5951616989.722808,1143357948.661211,coingecko
2024-03-01,2024-03-01,BCH,bitcoin-cash,BINANCE,golden_smoke_TOP10,v1,9,0.1,5873370459.737923,613956800.3368826,coingecko
2024-03-01,2024-03-01,ICP,internet-computer,BINANCE,golden_smoke_TOP10,v1,10,0.09999999999999996,5811244391.480664,257177870.103239,coingecko
