date,r_ls_net,pnl,cost,funding
2024-09-16,0.0009708080357142834,0.0,0.0,-0.0009708080357142834
2024-09-17,0.000810573333333332,0.0,0.0,-0.000810573333333332
2024-09-18,-0.006653626666666667,0.0,0.0,0.006653626666666667
2024-09-19,-0.012175400000000003,0.0,0.0,0.012175400000000003
2024-09-20,-0.019189778761061954,0.0,0.0,0.019189778761061954
2024-09-21,-0.011032723684210533,0.0,0.0,0.011032723684210533
2024-09-22,-0.006376828947368424,0.0,0.0,0.006376828947368424
2024-09-23,-0.009471171052631582,0.0,0.0,0.009471171052631582
2024-09-24,-0.017189213973799133,0.0,0.0,0.017189213973799133
2024-09-25,-0.01801634934497817,0.0,0.0,0.01801634934497817
2024-09-26,-0.013175751091703063,0.0,0.0,0.013175751091703063
2024-09-27,-0.02049648260869566,0.0,0.0,0.02049648260869566
2024-09-28,-0.022550973913043487,0.0,0.0,0.022550973913043487
2024-09-29,-0.019775243478260873,0.0,0.0,0.019775243478260873
2024-09-30,-0.014701904347826089,0.0,0.0,0.014701904347826089
2024-10-01,-0.007359324675324677,0.0,0.0,0.007359324675324677
2024-10-02,-0.0010557155172413795,0.0,0.0,0.0010557155172413795
2024-10-03,-0.005303304721030044,0.0,0.0,0.005303304721030044
2024-10-04,-0.002722969957081547,0.0,0.0,0.002722969957081547
2024-10-05,-0.004118098712446352,0.0,0.0,0.004118098712446352
2024-10-06,-0.012913351931330475,0.0,0.0,0.012913351931330475
2024-10-07,-0.011026982832618028,0.0,0.0,0.011026982832618028
2024-10-08,-0.014137120171673822,0.0,0.0,0.014137120171673822
2024-10-09,-0.007654184549356224,0.0,0.0,0.007654184549356224
2024-10-10,-0.000713291845493569,0.0,0.0,0.000713291845493569
2024-10-11,-0.011030484978540776,0.0,0.0,0.011030484978540776
2024-10-12,-0.01758803433476395,0.0,0.0,0.01758803433476395
2024-10-13,-0.019806412017167388,0.0,0.0,0.019806412017167388
2024-10-14,-0.015417836909871247,0.0,0.0,0.015417836909871247
2024-10-15,-0.022272927038626617,0.0,0.0,0.022272927038626617
2024-10-16,-0.018377613733905587,0.0,0.0,0.018377613733905587
2024-10-17,-0.001839759656652362,0.0,0.0,0.001839759656652362
2024-10-18,-0.005815055793991418,0.0,0.0,0.005815055793991418
2024-10-19,-0.012653755364806871,0.0,0.0,0.012653755364806871
2024-10-20,-0.015234412017167387,0.0,0.0,0.015234412017167387
2024-10-21,-0.016134489270386267,0.0,0.0,0.016134489270386267
2024-10-22,-0.020338326180257514,0.0,0.0,0.020338326180257514
2024-10-23,-0.018277769230769236,0.0,0.0,0.018277769230769236
2024-10-24,-0.01246796153846154,0.0,0.0,0.01246796153846154
2024-10-25,-0.018324574468085116,0.0,0.0,0.018324574468085116
2024-10-26,-0.002704050632911393,0.0,0.0,0.002704050632911393
2024-10-27,-0.008762318597294705,0.0,0.00021273631881369145,0.008549582278481013
2024-10-28,-0.00484829822554371,0.005019944422383909,0.000012736318813691431,0.009855506329113927
2024-10-29,-0.007120469241112291,0.007305908910148221,0.0002,0.014226378151260512
2024-10-30,-0.024772071428571435,0.0,0.0,0.024772071428571435
2024-10-31,-0.021543957983193283,0.0,0.0,0.021543957983193283
2024-11-01,-0.016721533613445385,0.0,0.0,0.016721533613445385
2024-11-02,-0.011219407563025217,0.0,0.0,0.011219407563025217
2024-11-03,-0.011636962184873954,0.0,0.0,0.011636962184873954
2024-11-04,-0.006006037815126056,0.0,0.0,0.006006037815126056
2024-11-05,-0.0037279915966386594,0.0,0.0,0.0037279915966386594
2024-11-06,-0.01523054771447852,0.0,0.00032061073968859866,0.014909936974789921
2024-11-07,0.03623913874045695,0.06270569382893292,0.00007329258847597173,0.026393262500000004
2024-11-08,-0.018407909396184228,0.005021825499829071,0.00026033489601329154,0.023169400000000007
2024-11-09,-0.011832793388429758,0.0,0.0,0.011832793388429758
2024-11-10,-0.017683847107438023,0.0,0.0,0.017683847107438023
2024-11-11,-0.05096199173553717,0.0,0.0,0.05096199173553717
2024-11-12,-0.0684301844262295,0.0,0.0,0.0684301844262295
2024-11-13,-0.0555227950819672,0.0,0.0,0.0555227950819672
2024-11-14,-0.03528595102040816,0.0,0.0,0.03528595102040816
2024-11-15,-0.025694816326530617,0.0,0.0,0.025694816326530617
2024-11-16,-0.03651153658536584,0.0,0.0,0.03651153658536584
